date,SmallCap,LargeCap
1991-12,-0.0025,0.1128
1992-01,0.2444,-0.0157
1992-02,0.086,0.0115
1992-03,0.0085,-0.0183
1992-04,-0.044,0.0241
1992-05,0.0037,0.007
1992-06,-0.0427,-0.0156
1992-07,0.0177,0.0394
1992-08,-0.0282,-0.0201
1992-09,0.0078,0.015
1992-10,0.0117,0.0092
1992-11,0.07,0.0333
1992-12,0.0489,0.0164
1993-01,0.1136,0.0041
1993-02,-0.0059,0.013
1993-03,0.0316,0.0203
1993-04,-0.0042,-0.0193
1993-05,0.039,0.0206
1993-06,0.0289,0.0035
1993-07,0.0171,-0.004
1993-08,0.0348,0.0385
1993-09,0.0391,-0.0016
1993-10,0.057,0.0138
1993-11,-0.0218,-0.0128
1993-12,-0.0062,0.0088
1994-01,0.0676,0.0298
1994-02,-0.0039,-0.0326
1994-03,-0.0338,-0.0424
1994-04,-0.0244,0.0129
1994-05,0.0015,0.0207
1994-06,-0.0229,-0.0225
1994-07,0.0081,0.0262
1994-08,0.0244,0.0432
1994-09,0.0183,-0.0282
1994-10,-0.0013,0.0226
1994-11,-0.047,-0.0353
1994-12,-0.0339,0.0118
1995-01,0.0543,0.0312
1995-02,0.02,0.0355
1995-03,0.0155,0.0221
1995-04,0.026,0.0228
1995-05,0.0172,0.0455
1995-06,0.0675,0.022
1995-07,0.0586,0.0328
1995-08,0.0484,0.0087
1995-09,0.0344,0.0432
1995-10,-0.047,-0.0023
1995-11,-0.0087,0.0488
1995-12,-0.0015,0.0143
1996-01,0.0518,0.0345
1996-02,0.0439,0.01
1996-03,0.0349,0.0137
1996-04,0.0646,0.0129
1996-05,0.1032,0.0191
1996-06,-0.0288,0.0018
1996-07,-0.0894,-0.0445
1996-08,0.0329,0.0277
1996-09,0.0172,0.059
1996-10,-0.0335,0.0229
1996-11,0.007,0.0756
1996-12,-0.0221,-0.0207
1997-01,0.099,0.049
1997-02,-0.0091,0.0134
1997-03,-0.0484,-0.0408
